product_id,product_reference,country_id,country,region_id,region,farm,producer_id,producer,variety_id,variety,process_id,process,cup_profile,cup_score,bag_size_kg,bags,bags_available,price_per_kg,harvest_date,status,rotation_number,marks,elevation
77,product_1,19,Colombia,10,Huila,Chorro Alto,10,producer_1,13,Caturra Chiroso,4,Washed + Thermal Shock,"Hibiscus, citrus, panela",87,24,6.00,0.00,18.75,August 2025,Sold Out,1125/29/1,C-07-CATURRA CHIROSO WASHED,1600 - 1850 masl
17,product_2,19,Colombia,15,Huila,Chorro Alto,10,producer_1,13,Caturra Chiroso,9,Anaerobic Natural,"Black cherry, Mango, lychee",87,24,20.00,0.00,17.75,April 2025,Sold Out,725/30/9 - C-08,CATURRA CHIROSO NATURAL - 03/2928/00048,1600 - 1850 masl
60,product_3,19,Colombia,10,Huila,Chorro Alto,10,producer_1,13,Caturra Chiroso,9,Anaerobic Natural,"Black cherry, Mango, lychee",87,24,20.00,0.00,17.75,August 2025,Sold Out,1125/29/2,C-08 - CATURRA CHIROSO NATURAL,1600 - 1850 masl
139,product_4,19,Colombia,10,Huila,Chorro Alto,10,producer_1,13,Caturra Chiroso,9,Anaerobic Natural,"Black cherry, Mango, lychee",87,24,8.00,0.00,17.75,December 2025,Sold Out,,,1600 - 1850 masl
7,product_5,19,Colombia,15,Huila,Chorro Alto,10,producer_1,17,Red Bourbon,9,Anaerobic Natural,"Blueberry, dry fruit, vanilla",86.25,24,9.00,0.00,12.50,June 2024,Sold Out,1024/74/9,RED BOURBON 3/2928/00030,1600 - 1850 masl
140,product_6,19,Colombia,15,Huila,Chorro Alto,10,producer_1,17,Red Bourbon,9,Anaerobic Natural,"Blueberry, dry fruit, vanilla",86.25,24,4.00,0.00,17.75,December 2025,Sold Out,,,1600 - 1850 masl
8,product_7,19,Colombia,15,Huila,Chorro Alto,10,producer_1,18,Yellow Bourbon,9,Anaerobic Natural,"Grapefruit, tangerine, tropical fruit",86.75,24,25.00,0.00,13.50,June 2024,Sold Out,1024/74/8,YELLOW BOURBON 3/2928/00029,1600 - 1850 masl
76,product_8,19,Colombia,10,Huila,Chorro Alto,10,producer_1,28,Striped Caturra,12,Washed,"Chocolate, vanilla, caramel",87,24,10.00,0.00,15.00,August 2025,Sold Out,1125/29/3,C-12 - STRIPED CATURRA,1600 - 1850 masl
121,product_9,19,Colombia,10,Huila,Chorro Alto,10,producer_1,29,Orange Gesha,4,Washed + Thermal Shock,"Floral, lavender, lime, mandarin",88,24,14.00,0.00,30.00,December 2025,Sold Out,,,1600 - 1850 masl
75,product_10,19,Colombia,10,Huila,Chorro Alto,10,producer_1,29,Orange Gesha,4,Washed + Thermal Shock,"Floral, lavender, lime, mandarin",88,24,10.00,0.00,30.00,August 2025,Sold Out,1125/29/4,C-13 - ORANGE GESHA,1600 - 1850 masl
78,product_11,19,Colombia,15,Huila,Chorro Alto,13,producer_2,27,Papayo,10,Advanced Natural,"Red fruits, boozy, pi–a colada",88,24,15.00,3.00,28.00,August 2025,Available,1125/29/11,CDE-01 - PAPAYO NATURAL,
94,product_12,19,Colombia,16,Huila,Cultivares,14,producer_3,4,Gesha,9,Anaerobic Natural,"Chocolate, yellow fruits",87.5,24,6.00,6.00,20.50,August 2025,Available,1125/29/5,CB-01 - GESHA NATURAL,1650 masl
95,product_13,19,Colombia,16,Huila,Cultivares,14,producer_3,4,Gesha,12,Washed,"Floral, jazmin",88,24,10.00,0.00,21.00,August 2025,Sold Out,1125/29/6,CB-02 - GESHA WASHED,1650 masl
96,product_14,19,Colombia,16,Huila,Cultivares,14,producer_3,27,Papayo,9,Anaerobic Natural,"Tropical, watermelon, red fruits",87,24,6.00,1.00,19.60,August 2025,Available,1125/29/7,CB-04 - PAPAYO NATURAL,1650 masl
97,product_15,19,Colombia,16,Huila,Cultivares,14,producer_3,22,Sidra,26,Honey,"Gentle florals, apple blossom, nectarine",88,24,10.00,0.00,19.90,August 2025,Sold Out,1125/29/8,CB-05 - SIDRA HONEY,1650 masl
98,product_16,19,Colombia,16,Huila,Cultivares,14,producer_3,30,Caturron,9,Anaerobic Natural,"Dried fruit, raisins",86+,24,6.00,6.00,19.85,August 2025,Available,1125/29/9,CB-06 - CATURRON NATURAL,1650 masl
99,product_17,19,Colombia,16,Huila,Cultivares,14,producer_3,2,Caturra,12,Washed,TBC,85.5,24,4.00,0.00,11.50,August 2025,Sold Out,1125/29/10,CB-08 - CATURRA,1650 masl
114,product_18,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,2,Caturra,4,Washed + Thermal Shock,"Tropical fruit, mango, toffee",88,24,32.00,0.00,14.95,December 2025,Sold Out,,,
9,product_19,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,2,Caturra,4,Washed + Thermal Shock,"Tropical fruit, mango, toffee",88,35,28.00,0.00,14.75,February 2025,Sold Out,725/30/1 - J-01,CATURRA - 03/2928/00040,
56,product_20,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,2,Caturra,4,Washed + Thermal Shock,"Tropical fruit, mango, toffee",88,35,42.00,0.00,14.75,August 2025,Sold Out,1125/29/12,J-01 - CATURRA,
