postcode,city,latitude,longitude
B1 1TB,Birmingham,52.4786,-1.9085
B2 4QA,Birmingham,52.4801,-1.8998
B3 2HB,Birmingham,52.4829,-1.9051
BS1 4DJ,Bristol,51.4538,-2.5916
BS1 5AH,Bristol,51.4514,-2.5982
BS1 5TR,Bristol,51.4541,-2.5961
BT1 4QG,Belfast,54.6001,-5.9284
BT1 5GS,Belfast,54.5973,-5.9301
BT2 7FE,Belfast,54.5949,-5.9322
CB1 1PT,Cambridge,52.2039,0.1262
CB2 3AR,Cambridge,52.2053,0.1218
CB2 8PA,Cambridge,52.2017,0.1184
CF10 1EP,Cardiff,51.4816,-3.1791
CF10 2AF,Cardiff,51.4795,-3.1738
CF11 9HA,Cardiff,51.4736,-3.1862
CV1 1LL,Coventry,52.4075,-1.5123
CV1 2FL,Coventry,52.4081,-1.5106
CV1 5FB,Coventry,52.4063,-1.5194
EH1 1YZ,Edinburgh,55.9527,-3.1889
EH2 3AH,Edinburgh,55.9539,-3.1912
EH3 9EG,Edinburgh,55.9497,-3.2054
EX1 1RS,Exeter,50.7224,-3.5339
EX2 4AN,Exeter,50.7181,-3.5238
EX4 3AT,Exeter,50.7251,-3.5361
G1 1XQ,Glasgow,55.8601,-4.2465
G2 5QR,Glasgow,55.8607,-4.2577
G3 8AG,Glasgow,55.8661,-4.2843
L1 8JQ,Liverpool,53.4008,-2.9824
L2 3AB,Liverpool,53.4078,-2.9916
L3 4AD,Liverpool,53.4105,-2.9946
LE1 3UD,Leicester,52.6362,-1.1326
LE1 5YY,Leicester,52.6369,-1.1398
LE2 7LX,Leicester,52.6249,-1.1241
LS1 2HQ,Leeds,53.7982,-1.5455
LS1 4DY,Leeds,53.7997,-1.5492
LS2 7HY,Leeds,53.8033,-1.5487
M1 4BT,Manchester,53.4808,-2.2426
M2 5DB,Manchester,53.4827,-2.2447
M3 3BT,Manchester,53.4878,-2.2513
NE1 4ST,Newcastle upon Tyne,54.97,-1.6125
NE1 5AF,Newcastle upon Tyne,54.9744,-1.6136
NE2 4PF,Newcastle upon Tyne,54.9806,-1.6031
NG1 5FS,Nottingham,52.9548,-1.1581
NG1 6DQ,Nottingham,52.9562,-1.1475
NG7 2RD,Nottingham,52.9508,-1.1746
NR1 3JQ,Norwich,52.6278,1.3001
NR2 1TF,Norwich,52.6309,1.2974
NR3 1YE,Norwich,52.6373,1.2942
OX1 1BP,Oxford,51.752,-1.2577
OX1 2JD,Oxford,51.7539,-1.2613
OX2 6GG,Oxford,51.7631,-1.2666
PL1 1AR,Plymouth,50.3717,-4.1428
PL1 2AA,Plymouth,50.3714,-4.1421
PL4 8AA,Plymouth,50.3752,-4.1286
S1 1WB,Sheffield,53.3825,-1.4708
S1 2HE,Sheffield,53.3808,-1.4701
S3 8HQ,Sheffield,53.3893,-1.4761
SE1 7AA,London,51.5045,-0.0865
SE1 8XX,London,51.5029,-0.0878
SO14 3TG,Southampton,50.9057,-1.3992
SO14 7DZ,Southampton,50.9097,-1.4044
SO15 1BA,Southampton,50.9104,-1.4147
WC2N 5DU,London,51.5079,-0.1283
YO1 7HB,York,53.959,-1.0815
YO1 8SU,York,53.9574,-1.0824
YO10 5DD,York,53.9489,-1.0512
